Time,Exercise,Reps,+lb,RIR,Rest (after set),
Feb-27 18:19,Bench Press,4,135,,,
Feb-27 18:23,Machine Chest Press,5,65,,,
Feb-27 18:27,Machine Chest Press,10,50,,,
Feb-27 18:30,Machine Chest Press,7,50,,,
Feb-27 18:34,Overhead Cable Extension,9,42.5,,,
Feb-27 18:37,Overhead Cable Extension,9,42.5,,,
Feb-27 18:40,Overhead Cable Extension,6,42.5,,,
Feb-27 18:42,DB Lateral Raise,10,22.5,,,
Feb-27 18:45,DB Lateral Raise,10,22.5,,,
Feb-27 18:48,DB Lateral Raise,7,22.5,,,
Mar-02 20:18,Assisted Pull-ups,7,-110,,,
Mar-02 20:22,Assisted Pull-ups,8,-110,,,
Mar-02 20:26,Assisted Pull-ups,6,-110,,,
Mar-02 20:30,Assisted Pull-ups,5,-110,,,
Mar-02 20:33,Machine Front Pull Down,9,70,,,
Mar-02 20:37,Machine Front Pull Down,9,70,,,
Mar-02 20:40,Machine Front Pull Down,7,70,,,
Mar-02 20:44,Machine Rows,7,70,,,
Mar-02 20:48,Machine Rows,8,70,,,
Mar-02 20:53,Machine Rows,7,70,,,
Mar-02 20:56,BB Bicep Curls,10,60,,,
Mar-02 20:59,BB Bicep Curls,9,60,,,
Mar-02 21:02,BB Bicep Curls,7,60,,,
Mar-03 20:31,Bench Press,5,135,,,
Mar-03 20:35,Bench Press,5,135,,,
Mar-03 20:39,Bench Press,5,135,,,
Mar-03 20:43,Bench Press,4,135,,,
Mar-03 20:48,Machine Chest Press,10,55,,,
Mar-03 20:51,Machine Chest Press,8,55,,,
Mar-03 20:55,Machine Chest Press,6,55,,,
Mar-03 20:59,DB Lateral Raise,11,22.5,,,
Mar-03 21:02,DB Lateral Raise,10,22.5,,,
Mar-03 21:07,DB Lateral Raise,10,22.5,,,
Mar-03 21:08,Tricep Cable Extension,15,50,,,
Mar-03 21:12,Tricep Cable Extension,12,65,,,
Mar-03 21:15,Tricep Cable Extension,9,65,,,
Mar-03 21:19,Overhead Cable Extension,8,42.5,,,
Mar-05 17:46,Assisted Pull-ups,8,-110,,,
Mar-05 17:50,Assisted Pull-ups,8,-110,,,
Mar-05 17:54,Assisted Pull-ups,7,-110,,,
Mar-05 17:58,Assisted Pull-ups,6,-110,,,
Mar-05 18:01,Machine Front Pull Down,10,70,,,
Mar-05 18:05,Machine Front Pull Down,7,70,,,
Mar-05 18:09,Machine Front Pull Down,10,70,,,
Mar-05 18:13,Machine Rows,9,70,,,
Mar-05 18:17,Machine Rows,9,70,,,
Mar-05 18:21,Machine Rows,9,70,,,
Mar-05 18:24,BB Bicep Curls,8,60,,,
Mar-05 18:27,BB Bicep Curls,9,60,,,
Mar-05 18:31,BB Bicep Curls,9,60,,,
Mar-06 17:55,Bench Press,5,140,,,
Mar-06 17:59,Bench Press,5,140,,,
Mar-06 18:04,Bench Press,4,140,,,
Mar-06 18:09,Bench Press,4,140,,,
Mar-06 18:14,Bench Press,3,140,,,
Mar-06 18:18,Machine Chest Press,7,60,,,
Mar-06 18:22,Machine Chest Press,7,60,,,
Mar-06 18:25,Machine Chest Press,6,60,,,
Mar-06 18:28,Overhead Cable Extension,12,42.5,,,
Mar-06 18:33,Overhead Cable Extension,11,42.5,,,
Mar-06 18:35,Overhead Cable Extension,9,42.5,,,
Mar-06 18:37,DB Lateral Raise,9,25,,,
Mar-06 18:40,DB Lateral Raise,8,25,,,
Mar-06 18:44,DB Lateral Raise,8,25,,,
Mar-09 20:13,Assisted Pull-ups,9,-110,,,
Mar-09 20:16,Assisted Pull-ups,8,-110,,,
Mar-09 20:21,Assisted Pull-ups,8,-110,,,
Mar-09 20:25,Assisted Pull-ups,7,-110,,,
Mar-09 20:28,Machine Front Pull Down,8,80,,,
Mar-09 20:32,Machine Front Pull Down,8,80,,,
Mar-09 20:36,Machine Front Pull Down,8,80,,,
Mar-09 20:41,Machine Rows,10,70,,,
Mar-09 20:44,Machine Rows,9,70,,,
Mar-09 20:48,Machine Rows,8,70,,,
Mar-09 20:53,BB Bicep Curls,8,70,,,
Mar-09 20:56,BB Bicep Curls,8,70,,,
Mar-09 21:00,BB Bicep Curls,7,70,,,
Mar-10 21:33,Bench Press,6,140,,,
Mar-10 21:38,Bench Press,5,140,,,
Mar-10 21:43,Bench Press,5,140,,,
Mar-10 21:48,Bench Press,4,140,,,
Mar-10 21:53,Bench Press,3,140,,,
Mar-10 21:57,Machine Chest Press,6,65,,,
Mar-10 22:01,Machine Chest Press,8,65,,,
Mar-10 22:06,Machine Chest Press,5,65,,,
